date,temp_max,temp_min,precipitation,windspeed,shortwave,doy
2016-01-16,5.8,0.6,0.5,12.5,1.05,16
2016-01-17,7.8,3.2,1.9,27.2,1.6,17
2016-01-18,7.3,5.9,1.4,25.0,1.35,18
2017-01-08,11.2,8.3,1.6,14.1,1.38,8
2017-01-09,9.9,5.4,2.4,34.7,3.38,9
2017-01-10,11.1,6.8,0.0,34.3,1.56,10
2017-01-11,11.6,4.3,0.0,42.3,3.18,11
2017-01-12,5.1,1.6,0.3,30.2,2.62,12
2017-01-13,4.6,1.6,0.0,31.3,3.76,13
2017-01-14,7.2,2.4,0.0,24.9,2.56,14
2017-01-15,10.5,6.7,0.0,29.9,2.05,15
2017-01-16,10.7,8.0,0.0,18.4,1.74,16
2017-01-17,10.4,7.3,0.0,13.4,1.43,17
2017-01-18,10.2,5.0,0.0,8.4,2.97,18
2018-01-08,5.4,2.3,0.0,27.9,3.49,8
2018-01-09,9.0,4.9,3.8,39.0,0.93,9
2018-01-10,7.3,-0.1,1.1,10.4,3.29,10
2018-01-11,5.6,3.2,0.0,13.3,2.54,11
2018-01-12,8.7,4.6,0.9,35.2,2.28,12
2018-01-13,8.4,7.2,13.9,40.9,0.41,13
2018-01-14,9.9,5.1,3.0,29.4,2.52,14
2018-01-15,10.6,4.0,2.4,30.7,2.72,15
2018-01-16,4.4,2.0,0.7,34.6,2.61,16
2018-01-17,9.7,2.3,8.5,37.7,3.77,17
2018-01-18,9.5,2.2,0.0,54.1,3.75,18
2019-01-08,8.1,3.7,0.0,21.7,2.81,8
2019-01-09,7.5,4.6,0.2,12.2,2.22,9
2019-01-10,10.2,5.9,0.2,15.5,1.48,10
2019-01-11,9.1,5.5,0.0,21.0,2.4,11
2019-01-12,10.3,8.4,0.2,33.9,1.82,12
2019-01-13,11.0,7.5,0.2,35.6,1.41,13
2019-01-14,8.4,6.3,0.0,22.2,2.4,14
2019-01-15,9.7,7.9,0.0,19.3,2.13,15
2019-01-16,9.2,3.2,1.5,26.8,3.58,16
2019-01-17,4.9,0.7,0.0,25.6,3.72,17
2019-01-18,9.0,0.3,1.9,34.5,3.05,18
2020-01-08,10.9,5.9,1.5,32.5,2.11,8
2020-01-09,5.8,3.5,12.1,26.8,2.1,9
2020-01-10,10.6,2.2,0.3,30.0,3.19,10
2020-01-11,13.2,7.4,5.2,38.9,0.73,11
2020-01-12,7.5,4.8,2.0,23.1,3.27,12
2020-01-13,9.5,4.7,9.0,55.9,0.88,13
2020-01-14,6.2,4.2,3.5,27.3,1.04,14
2020-01-15,7.7,4.8,0.0,31.9,4.05,15
2020-01-16,11.4,4.9,7.3,46.6,1.09,16
2020-01-17,6.4,2.8,0.1,22.0,4.12,17
2020-01-18,5.5,0.3,0.0,19.8,3.79,18
2021-01-08,3.0,-0.5,0.0,20.6,3.19,8
2021-01-09,2.8,-3.0,0.0,20.8,3.74,9
2021-01-10,5.5,1.7,0.0,21.3,1.4,10
2021-01-11,9.9,5.5,4.2,32.4,0.86,11
2021-01-12,9.2,5.2,7.8,25.9,1.77,12
2021-01-13,11.5,6.2,6.5,29.4,2.51,13
2021-01-14,10.1,3.7,0.6,27.8,3.54,14
2021-01-15,8.5,1.8,3.8,38.1,2.18,15
2021-01-16,10.3,5.5,2.0,38.2,2.93,16
2021-01-17,6.9,3.3,0.5,24.9,2.26,17
2021-01-18,8.8,5.0,5.6,23.1,0.8,18
2022-01-08,9.9,3.9,1.1,34.3,2.49,8
2022-01-09,7.9,3.7,2.0,29.3,2.68,9
2022-01-10,12.7,6.9,2.1,18.7,1.79,10
2022-01-11,8.8,5.4,0.1,16.3,3.57,11
2022-01-12,9.4,4.5,0.0,17.8,3.62,12
2022-01-13,5.8,0.4,0.0,10.9,3.43,13
2022-01-14,6.1,0.1,0.0,8.4,3.29,14
2022-01-15,8.3,1.9,0.6,13.9,1.61,15
2022-01-16,7.9,2.0,0.5,20.6,4.0,16
2022-01-17,7.3,-0.8,0.0,13.0,4.15,17
2022-01-18,9.6,-0.4,0.2,15.9,3.32,18
2023-01-08,8.3,5.2,0.8,34.5,2.62,8
2023-01-09,7.6,5.0,0.0,41.9,3.37,9
2023-01-10,14.1,6.5,17.0,43.3,0.93,10
2023-01-11,10.9,6.3,8.6,40.4,2.08,11
2023-01-12,11.3,7.1,0.2,52.5,3.39,12
2023-01-13,9.3,6.5,1.4,44.3,3.78,13
2023-01-14,9.7,3.5,6.1,38.1,3.72,14
2023-01-15,6.0,1.5,2.7,37.4,3.25,15
2023-01-16,2.7,-1.2,0.0,19.9,4.22,16
2023-01-17,2.3,-2.6,0.0,25.6,4.33,17
2023-01-18,4.4,-0.1,0.0,31.8,3.1,18
2024-01-08,5.4,3.3,2.2,27.6,1.9,8
2024-01-09,5.1,4.0,0.1,33.9,3.15,9
2024-01-10,7.1,4.4,0.0,26.0,1.59,10
2024-01-11,8.1,6.4,0.0,20.1,1.43,11
2024-01-12,6.3,1.6,0.0,11.6,1.7,12
2024-01-13,5.1,1.5,0.0,15.5,1.17,13
2024-01-14,5.5,1.0,0.2,17.9,3.07,14
2024-01-15,3.0,-0.7,0.0,20.3,3.39,15
2024-01-16,4.2,-0.6,0.0,32.0,3.56,16
2024-01-17,2.2,-2.4,0.0,15.0,4.33,17
2024-01-18,2.6,-2.7,0.0,18.9,4.45,18
2025-01-08,1.6,-2.2,0.0,15.3,2.17,8
2025-01-09,2.7,-2.9,0.0,21.4,3.64,9
2025-01-10,5.8,-3.1,0.0,26.2,1.72,10
2025-01-11,7.9,5.3,2.7,25.8,0.84,11
2025-01-12,10.4,2.4,1.2,23.1,2.49,12
2025-01-13,12.7,10.4,1.0,23.6,1.27,13
2025-01-14,13.2,9.7,0.0,16.6,2.26,14
2025-01-15,11.2,3.9,0.0,9.7,4.17,15
2025-01-16,10.6,3.2,0.0,11.8,3.88,16
2025-01-17,11.3,5.6,0.0,13.1,3.6,17
2025-01-18,10.8,6.6,0.0,18.0,2.98,18
2026-01-08,5.5,3.0,4.8,23.4,1.31,8
2026-01-09,4.3,0.4,13.9,20.2,3.58,9
2026-01-10,6.5,0.0,3.1,24.9,3.29,10
2026-01-11,12.2,6.6,16.3,35.3,0.71,11
2026-01-12,10.8,8.5,0.0,32.3,2.92,12
2026-01-13,8.4,2.1,2.7,20.1,3.95,13
